电影名称,评论者,评分等级,评论日期,点赞数,评论内容
阿基拉,影志,推荐, 2020-08-29 00:06:42 ,18,“未来并不会朝着一个方向走，我们应该也有不同的选择” 吸收和蔓延的魅力。
阿基拉,Song³,推荐, 2020-02-14 10:22:46 ,7,末世情节。对科学未知领域的恐惧，对人类薄弱意志的担忧。大友克洋从不相信弱小者经过快速成长就能自动导向到正确的方向，因为那些人往往从未尝试过抒发欲望，他们的内心在压抑中扭曲了。当他们意外得到力量之后，过分膨胀的自我只会带来巨大的毁灭。他也不相信什么“人民的正义”，他认为所谓“人民”只是盲目的代名词，总是会被别有用心的人利用。无知的民众被人利用还不自知，他们追求的正义不过是一些人恶意煽动的结果，最后不仅没有得到任何东西，还在暴动中成为最初的牺牲品。虽说大友克洋对未来、对社会、对人类都抱有很悲观的态度，但在悲观中却并没有丧失希望。他认为毁灭只是暂时的，更重要的是在毁灭之后的重生。“阿基拉”在日文中的意思是“光明”，即便现实再怎么黑暗，也不要放弃对光明的追求。
阿基拉,安东,推荐, 2011-02-13 02:13:46 ,13,妄图控制自己超出自己能力范围之外的力量，最终的结局只能是毁灭，从核弹到阿基拉，莫不如此。
阿基拉,本来老六,2013-09-08 11:19:18, 2013-09-08 11:19:18 ,24,"在日本做游戏的日子
大友克洋20年前开始的漫画「AKIRA」里面就预言2020年东京要开奥运了...这个老预告片里演的是距离奥运会开幕还剩147天2019年的场景~（别闹！）"
阿基拉,Panda的影音,推荐, 2014-11-18 17:18:39 ,5,戴上头戴式耳机，把声音开得比平时大，没想到就这样被出“31 YEARS……”字幕时候的大定锤音给吓到了……看的日本动画，没想到下载的却是英文配音版……开篇的追车动作戏真的画得挺残酷挺血腥的……《蒸汽男孩》《回忆三部曲》加这部《阿基拉》，我基本可以猜测大友克洋不会成为我的心头大爱了？……
阿基拉,不流ᝰ,推荐, 2010-12-18 22:41:45 ,9,日式科幻，场面很够，不错。
阿基拉,Lies and lies,较差, 2014-02-05 18:29:47 ,21,音乐神。老是Fade Out略不解。日本人拍启示录总是拍得小气，因为对原子弹的恐惧太深。
阿基拉,橘 きよあき,力荐, 2016-04-28 22:09:56 ,7,2011-11-06  自卑与自我膨胀 潜藏力量 群体盲目 宇宙本源讨论 以及 你
阿基拉,宇宙寿司馆老板,力荐, 2020-06-03 17:00:21 ,11,"一部充满浪漫和悲壮的预言。在那座废土和大厦并存的城市里，人命并不可贵，未来也无从期待，有人堕落就有人崛起，野心，金钱，理想和正义都是被玩弄的对象，并没有真正的胜利者可言。掌权者和蝼蚁的身份对换就是硬币的正反面，而那些拥趸看似是对神明的朝拜，到头来不过是在对力量称臣。 

电影里有对核爆的阴影，经济泡沫的焦虑，信仰的崩塌，人们在绝望过后反倒希望用毁灭带来新生，而最后那一场爆炸恰恰象征着宇宙的诞生，一切都是循环。《阿基拉》不仅代表着过去，也影射未来，全片嚣张到极致的画风和诡异到先锋的配乐都像是直接砸到观众眼睛里。拯救世界的可以是小孩，也可以是什么能力都没有的高中生，哪有绝对的善与恶，大家都是凡人罢了。"
阿基拉,易,推荐, 2012-08-01 10:21:47 ,7,这里有所有日系科幻片的元素：肉体和性灵，无政府状态，反乌托邦，城市暴乱，无法控制的能量，因为比较早，逻辑上面还不是特别严密。所以在故事架构上不如大友克洋后期的作品或者押井守的作品，但因为其赛博朋克社会的刻画，也可以称之为优秀了。
阿基拉,魔术师索洋君,推荐, 2019-05-23 21:24:48 ,6,这个片子当年绝对是很牛的，作画放到现在看都很震撼，可惜现在的观众应该很难理解或者gat到这个动画的好看之处，他们应该会觉得很“糙”，但糙何尝不是一种风格呢，要多拓宽自己的审美啊。
阿基拉,阿Q,推荐, 2011-07-13 20:38:51 ,9,"不得不承認, 八九十年代的日本動畫電影就已經成熟到這種地步了, 即使放在今天也一點不過時, 拍成真人版商業大片會是個相當不錯的素材, 可貴的是, 雖然是動畫, 對戰爭, 人的野心, 權利, 力量都有比較直觀的刻畫. "
阿基拉,Mr. Infamous,推荐, 2020-02-29 23:59:37 ,3,终于赶在2月29日看了这个预言2020年东京奥运会的神片。那个幻想中的战后都市，在八十年代充满狂野而愤怒的想象力，颓废与肮脏在东京蔓延，多少都有末日感。到底还是人类在试图驾驭无法驾驭的能量，野心以及扭曲汇成黑暗的准头，这始终是可怕的。//20210915，杜比影厅二刷，音效＞画质。
阿基拉,paradiso,推荐, 2013-06-28 22:40:24 ,5,理性上钦佩，感情上疏远。日本真人动作大片水准落后动画30年。。。
阿基拉,夏季的天空,力荐, 2022-02-25 22:19:22 ,1,1988年的科幻作品，哪怕现在看来亦是相当具有“前瞻性”（在其诞生后的三十多年里产生一堆跟风的大作），在科幻的壳里孵化着对于社会形态与发展的沉思。日本的科幻作品似乎总是和高中生（或是这个年龄段的群体）“过不去”，或是因为要对应动漫作品的主流客群，亦或是因为够年轻够热血够叛逆够冲劲、对于未来的不确定性可以尽情发挥（譬如守护人类、毁天灭地、逆转未来等）。这厮比二十多年后的《超体》更带劲！片中最初的超能三少年应是分别对应二战时期老美的三颗核弹，小男孩和小胖子太明显了。“铁雄”应是对应不受控制的核事故。
阿基拉,王小札,力荐, 2021-01-09 01:16:04 ,9,"人类点燃了火，却终将无法控制它。
大友用超能失控抛出了一个哲学命题，
即人类是否能驾驭自己所发现的力量？
而在以往无数的历史层与战争废墟之上，
我们表现得更像是一个偏执暴躁的孩童。
政体宗教人民在其世界观的演绎颇有寓意，
劈云裂地的末日场面与神性配乐令人瞠目。
而在回答何去何从时还是选择了暧昧开放。"
阿基拉,囧之女神daisy,推荐, 2014-05-16 22:52:29 ,7,“去中心化”的古怪片子。想表达的点太多了，每一个点都够拍20部电影，凑在一起稍微显得重点模糊。最后的结尾对很多人来说可能比较晦涩。
阿基拉,火娃,推荐, 2016-01-18 01:05:31 ,5,8/10。开头近景大俯视镜头直摇到远景小俯视，白光爆炸渐隐出血红色地图，场景转到破落、流光重彩的酒吧灯箱与电视新闻相呼应，揭示人物生存状态之尖锐；高潮处铁雄利用机械零件修复受伤的手臂，反噬了自我和宗教追随者，回忆中金田看到和铁雄的公园涂鸦是童年安全感的缺失，带给心灵强烈而持久的震撼。 @2016-01-18 01:05:31
阿基拉,白石春子,推荐, 2020-09-20 18:16:46 ,5,大螢幕補。當人類獲得遠超自己認知與控制的強大力量，政治的科學的宗教的民粹的無一倖免。內容太多，前半段精彩，後半段失控。
阿基拉,Q。,推荐, 2013-10-03 18:54:29 ,5,意识超前，画风简直猎奇，具有许多象征意义，浓郁的末日情怀，日本奥运会神预言。★★★★
阿基拉,䒳,推荐, 2019-11-01 16:11:48 ,1,2019在东京看电影里的2019东京奥运会场被炸。@六本木ex theater剧院里看电影，音响效果是极好的，就是位子和屏幕都不太理想。映后两位声优出场，现场还原对话，太强了
阿基拉,D I D A,力荐, 2020-03-11 22:24:41 ,5,AKIRA符合所有人对日系赛博庞克的幻想，在科幻的框架下实现了人文主义所探讨的课题，无论是对时代消逝学运的复刻——大友克洋的恶意，因为虚无的叛逆最终迎来了毁灭，还是对宗教哲思的猎奇阐释和展现，尤其是对古希腊神话与人性的重构，这部诞生30多年的动画在如今仍具有不可思议的超前性和现实性。
阿基拉,起！,推荐, 2019-06-25 00:03:11 ,4,五年级的时候玩上了kof01，到大学还在坚持打02。作为一个不太成功的拳皇玩家，目睹了snk的兴起和衰落，也见证了k9999这个人物的昙花一现。他的大招会伸出巨大手臂，招式的名称也不外乎“烦死了”，“去死吧”，瘦小，病态，疯狂，披着破碎的红色披风，迎风而立。#为啥k9999只出现了2年，因为tm大友克洋把snk给告了，哈哈哈哈哈
阿基拉,T3的小喇叭,还行, 2011-02-22 13:16:27 ,26,不好说.......有点盛名之下其实难副的感觉......前半部分很棒，但是后面.....想要吐槽的地方太多了.......我说金田跟铁雄那段体育场决战算什么啊.......为什么太阳能激光枪打断了铁雄的手，金田毫发未伤哦.....好好的末世警言拍成这样真是让人泄气.......
阿基拉,kakakarl,还行, 2013-11-09 00:54:17 ,27,节奏缓慢，前半段铺垫漫长。人设太多，并不能把握整体。剧情中二，依旧是主角万能。人设丑爆，甚至低于真人化。现在的真人科幻可以拍出更好的东西了，失望。
阿基拉,血源2出了吗？,力荐, 2009-09-21 11:01:28 ,15,我的动画第一名
阿基拉,玖茶,推荐, 2021-01-08 13:22:17 ,9,我就想知道实时热门第一是不是因为今天豆瓣日历刚好是这部电影。
阿基拉,澈黑,力荐, 2010-09-30 23:41:52 ,7,omg!这就是K9999的原型吧！！！！好期待电影版
阿基拉,荒也,还行, 2019-01-27 21:24:45 ,10,高潮和大场面太密集频繁，越到后面越视觉疲劳，叙事层次感输给壮观气场。受弗里茨·朗《大都会》 影响明显，但即便是《大都会》，也有动人的相遇。
阿基拉,U 兔,推荐, 2019-07-16 17:20:25 ,1,画风是顶喜欢的，如果看单幅或者美术设定的话我可能会更加喜欢它，但是作为电影来说，全片的节奏太慢了，而且内容实在有点中二，太像小时候对未来世界一厢情愿的幻想了，所以看得有点寡味。这部影片应该满足了男孩子的所有期待吧：摩托车、逃学却拯救世界的浮浪少年、能水上行走和平地起飞的超能力者，而且还是小孩，不可控制的能力、愚蠢的成人、zf的阴谋；还有各种恶趣味，捆绑、怪兽（甚至对侏儒的执念）、粘液、变形、幻灭的未来都市……总是有这种执念的人会觉得满足吧，但表现得还是太中规中矩了，缺少更加大胆的东西。我还是觉得节奏太慢，想说的东西说得不够到位，看得很累。不过这样一部鸿篇巨著能在影院完整看下来也是很好的经历了。SiffU2019
阿基拉,Suito,推荐, 2010-05-22 00:14:15 ,2,单纯的毁灭带不来任何意义。所以最让我觉得沮丧的就是像《阿基拉》这样影片，竟然这么轻而易举就把城市消灭掉了。
阿基拉,gouwang,还行, 2011-06-22 12:35:42 ,10,上世纪的作画ANIME，可惜大友的剧本如此平庸无碌，只能从作画上体会到的上世纪观众在银幕上经历的所谓震撼感
阿基拉,夜神月的猫,还行, 2020-03-26 02:02:10 ,6,看了好久不知道写什么，分这么高，都说经典，除了对东京奥运会意外的预言比较提神外，其他没觉得有什么，为什么会被推上神坛，我不明白。女主角，很多时候不加提醒我都以为是个男的，整体的画风也是如鲠在喉。其实影片终归一句话，还是罗翔老师讲的：不加约束的自由，必将导致强者对弱者的剥削。除此之外并没发现其他更深刻内涵，也找不到让我愿意回味的片段。【摊手】
阿基拉,二表兄,力荐, 2010-01-31 11:44:18 ,6,视觉太牛逼了.当场就震住我了.
阿基拉,樹,还行, 2014-05-11 04:09:37 ,7,　宫崎俊说，“……一个异能少年站立在东京废墟之上，人人都会说这是大友克洋”，或许正因大友克洋(Katsuhiro Otomo)个人的毁灭感过于强烈，手冢治虫的遗作《大都会》也要请来大友来重新担任编剧。没有办法，东京废墟上的少年，无论人或机器，都要由大友克洋来掌控发展。
阿基拉,汪金卫,力荐, 2018-09-10 17:48:40 ,4,【VCD影促会&UCCA展映】虽然剧情和大友克洋很多作品一样过于夸张。但本片中很多毛骨悚然的超现实桥段我确实是以目瞪口呆的状态看完的。除画面和配乐十分震撼，分镜设计也非常惊艳。2D+3D、浮夸的剧情、复杂华丽的画风、音乐等，都在《蒸汽男孩》中得到了继承与进一步发扬。斯皮尔伯格在《头号玩家》中致敬本片的，不仅是摩托车。四星半
阿基拉,赤石英雄,推荐, 2014-08-25 19:49:15 ,2,有着启示录一般恢弘震撼的末世感，剧情走的是《2001》那种非典型哲学探讨式的套路。以强烈的赛博朋克风格为载体阐述了对灭绝与进化之规律的一个想法以及尚未成熟的人类种族在面对不可逆的进化之时犯下的错误与迷惘，过饱和的科技与文明之于人类就相当于过度强大的身躯之于恐龙，必定会将自身引向灭亡。
阿基拉,Obtson,推荐, 2012-10-15 18:06:15 ,2,“大友克洋至少把东京毁灭了三次。——宫崎骏” 在大友的脑叶纹路中，末世应该是一门学科，属必修。你只有穿过难以估量地摧毁，才能抵达与此等同的创生。我想一个有毁灭癖的男人，大概都喜欢膨胀和塌缩这两个状态。| 被杀死的东京奥运会。（日本动画电影大师回顾展，百丽宫猎德igc，2020.9.9）
阿基拉,踢迩达,力荐, 2016-10-04 06:39:14 ,5,日本动画的末日大都市简直太迷人。光明/黑暗，文明/人性，速度感，空间感，感觉日本动画承载和讨论的东西太多，已成为哲学。
阿基拉,塔塔君Minkun,推荐, 2018-04-17 04:52:46 ,6,4.9Picturehouse Central补标，赛璐璐动画质感里机车穿梭在公路时的背动、鳞次栉比的高楼大厦、芸能山城組的音乐一同在影院里迸发，腹肌都爽出来了/重看，其实大友克洋讨论的问题都非常一针见血，但是都不深入，最后却在情节和噱头上玩的很high很好看。2015.9.26
阿基拉,[未注销],力荐, 2020-02-29 23:45:22 ,3,“金田：这车是为我定制的。它太野了，你控制不来的。／铁雄：我能！／金田：这么想要，干脆自己去弄辆大的。”（此处配乐与结尾相同）铁雄不懂这个道理，后来更不懂；人类也是。震撼视觉的躯体扭曲、膨胀是能量失控的具象化。渴望力量，不加节制、不计后果，自我毁灭，九九归一。应该影响到了《红辣椒》。
阿基拉,贺兰迈克,推荐, 2014-05-24 22:58:32 ,4,不是很解渴，虽然感觉很痛苦，但是意义怪怪的。。。
阿基拉,焚紙樓,还行, 2017-05-27 14:49:05 ,14,每一個角色都該死，結果唯一死的卻是對和平相對有貢獻的博士？果然死宅就是死宅阿。
阿基拉,Morning,推荐, 2020-04-25 08:39:35 ,2,画面语言来说似乎为后来许多导演提供了不少灵感，许多镜头都是许多导演中某场戏或某个镜头的故事板性质的存在，故事本质上没有太大的新意，除了一直探索阿基拉这个概念上未知的东西，但依靠不停的转换视角将故事放开又收紧的方式显得很有生机，我觉得这也是一个不错的讲故事的方式，但也容易崩坏。后段显然不如前段精致，但架不住情节上的突进，就是山崩一样，没太多细节，可是仍旧有破坏力。
阿基拉,小A,力荐, 2016-10-19 09:21:30 ,3,终于把这部神作看了。连戏有问题，但其他都太完美了，想象力爆棚。剧场版对漫画原作剧情的舍弃是有回报的，压缩了时间也没让故事彻底垮掉。铁雄第一次发力时，背景音“阿！基！拉！”令人难忘。溶镜再直接切入下一个镜头的画面衔接方式很有艺术性。大橋力的原声百听不厌，太给力了。
阿基拉,20个小明≯,力荐, 2021-09-24 21:34:20 ,3,太牛X了，震撼到失语……
阿基拉,xīn,推荐, 2012-01-22 10:49:44 ,3,对于近未来世界（城市）的想象非常准确 玩具熊兔子汽车变形扭曲的超现实画面颇为惊人 结合配乐营造了一种压抑神秘的氛围
阿基拉,阿飞,推荐, 2020-04-26 23:03:15 ,1,世界观的宏大恰成了致命之处，为了在两个小时的时长內融入一部剧集的体量，不可避免的在转场和节奏的衔接上显得生硬。指涉和预言都成就了传奇之名，后世的动漫也属实借鉴不少。很好，但不至封神。/@OF-bros
阿基拉,bay135,力荐, 2011-03-27 23:16:50 ,3,神作。难以名状的好看。虽然是一部动画电影，但其可以论美任何一部伟大的科幻电影。 大友克洋对于人类未来的担忧完全通过动画写实的表现了出来。作为一部动画电影，其画面配乐都达到了极高的水平，而且充满了娱乐性，让吾看的很是兴奋啊！！！
阿基拉,Parker Li,力荐, 2020-09-26 13:49:45 ,3,【YVR-Scotia】4K. 可能是由于这几天正好在读waltz，mearsheimer，nye等人的著作，这次银幕重温满脑子想的都是power，尤其是人性之恶/弱对于power的渴望和无能为力。“造物主”的我们企图用科学来掌控power，最后只能被反噬，而那些善良的人，哪怕自身生存下来，在这场看似扭曲的战斗（实际更可能是Morgenthau所说的pessimistic nature，虽然说的是international system 和本片不是一层，但这种悲观态度是共同的）。大友克洋给了自己的政治理解，我们可以去怀疑他的assumption，但这套观点框架真的就和waltz说的落叶理论一样：怎样掉落不重要，反正叶子都会掉在地上的。
阿基拉,老阿飞—故园,推荐, 2006-02-20 04:47:42 ,6,推荐的原因仅仅是因为它的制作
阿基拉,K-SchoLoss,力荐, 2019-06-17 22:42:36 ,2,"#SIFF#4
神作！这简直就是太空漫游最后一段超现实场景的丰富版作品。以未来主义为背景，以“阿基拉”为麦高芬，有力地探讨了人类发展与进化的可能，世界观极其宏大。再加上末世氛围赛博朋克、暴动的群众、精彩的打斗，在大屏幕上看真的很享受。最后一分钟的几何符号转变为瞳孔加上“我，是铁雄”简直点睛之笔，星童诞生了。
天山电影院环境超棒，观感极佳。"
