电影名称,上映日期,评分,评论人数,演员,类型,国家,电影ID,URL
银翼杀手,1982-06-25,8.6,280465,"哈里森·福特,鲁格·豪尔,肖恩·杨","科幻,惊悚",美国,1291839,https://movie.douban.com/subject/1291839/
守望者,2009-03-06,8.6,225266,"帕特里克·威尔森,卡拉·古奇诺,比利·克鲁德普","动作,科幻,悬疑",美国,1972698,https://movie.douban.com/subject/1972698/
复仇者联盟4：终局之战,2019-04-24,8.5,1105342,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","剧情,动作,科幻,奇幻,冒险",美国,26100958,https://movie.douban.com/subject/26100958/
源代码,2011-08-30,8.5,877044,"杰克·吉伦哈尔,维拉·法米加,米歇尔·莫纳汉","科幻,悬疑,惊悚","美国,加拿大",3075287,https://movie.douban.com/subject/3075287/
火星救援,2015-11-25,8.5,779134,"马特·达蒙,杰西卡·查斯坦,克里斯汀·韦格","剧情,科幻,冒险","英国,美国,匈牙利,约旦",25864085,https://movie.douban.com/subject/25864085/
蜘蛛侠：纵横宇宙,2023-06-02,8.5,459514,"沙梅克·摩尔,海莉·斯坦菲尔德,奥斯卡·伊萨克","喜剧,动作,科幻,动画,奇幻,冒险",美国,30391186,https://movie.douban.com/subject/30391186/
变脸,1997-06-27,8.5,391712,"约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦","动作,科幻,犯罪,惊悚",美国,1292659,https://movie.douban.com/subject/1292659/
这个男人来自地球,2007-11-13,8.5,386615,"大卫·李·史密斯,托尼·托德,约翰·比灵斯列","剧情,科幻",美国,2300586,https://movie.douban.com/subject/2300586/
黑客帝国动画版,2003-06-03,8.8,50193,"大塚明夫,克莱顿·华生,帕梅拉·阿德龙","动作,剧情,动画,科幻","美国,日本",1292347,https://movie.douban.com/subject/1292347/
机器管家,1999-12-13,8.6,110320,"罗宾·威廉姆斯,艾伯丝·戴维兹,山姆·尼尔","剧情,喜剧,科幻","美国,德国",1292529,https://movie.douban.com/subject/1292529/
月球,2009-07-10,8.5,281415,"山姆·洛克威尔,凯文·史派西,多米妮克·麦克艾丽戈特","剧情,科幻,悬疑","英国,美国",3073124,https://movie.douban.com/subject/3073124/
暖暖内含光,2004-03-19,8.5,277525,"金·凯瑞,凯特·温斯莱特,伊利亚·伍德","剧情,爱情,科幻",美国,1308777,https://movie.douban.com/subject/1308777/
回到未来3,1990-05-25,8.6,106312,"迈克尔·J·福克斯,克里斯托弗·洛伊德,玛丽·斯汀伯根","喜剧,科幻,西部,冒险",美国,1296666,https://movie.douban.com/subject/1296666/
星球大战,1977-05-25,8.5,149089,"哈里森·福特,马克·哈米尔,凯丽·费雪","动作,科幻,冒险",美国,1293838,https://movie.douban.com/subject/1293838/
星际宝贝,2002-06-16,8.6,76139,"黛维·切斯,克里斯·桑德斯,蒂亚·卡雷尔","喜剧,科幻,动画,冒险,家庭",美国,1307547,https://movie.douban.com/subject/1307547/
钢铁侠,2008-04-30,8.4,626332,"小罗伯特·唐尼,格温妮斯·帕特洛,泰伦斯·霍华德","动作,冒险,科幻,惊悚",美国,1432146,https://movie.douban.com/subject/1432146/
她,2013-10-12,8.4,460970,"华金·菲尼克斯,斯嘉丽·约翰逊,艾米·亚当斯","剧情,爱情,科幻",美国,6722879,https://movie.douban.com/subject/6722879/
回到未来2,1989-11-22,8.5,121967,"迈克尔·J·福克斯,克里斯托弗·洛伊德,莉·汤普森","喜剧,科幻,冒险",美国,1299092,https://movie.douban.com/subject/1299092/
星球大战前传3：西斯的反击,2005-05-20,8.5,112468,"伊万·麦克格雷格,娜塔莉·波特曼,海登·克里斯滕森","动作,科幻,奇幻,冒险",美国,1309078,https://movie.douban.com/subject/1309078/
潜行者,1980-05-13,8.8,37167,"亚历山大·凯伊达诺夫斯基,阿丽萨·弗雷因德利赫,安纳托利·索洛尼岑","剧情,科幻,悬疑",苏联,1295656,https://movie.douban.com/subject/1295656/
K星异客,2001-10-26,8.5,100286,"凯文·史派西,杰夫·布里吉斯,玛丽·麦克科马克","剧情,科幻","美国,德国",1306607,https://movie.douban.com/subject/1306607/
芬奇,2021-11-05,8.4,242825,"汤姆·汉克斯,卡莱伯·兰德里·琼斯,希默斯","剧情,科幻",美国,26897885,https://movie.douban.com/subject/26897885/
阿基拉,1988-07-16,8.5,93732,"岩田光央,佐佐木望,小山茉美","动作,科幻,动画",日本,1302770,https://movie.douban.com/subject/1302770/
她的回忆,1995-12-23,8.8,34295,"矶部勉,山寺宏一,高岛雅罗","动画,冒险,科幻",日本,5162334,https://movie.douban.com/subject/5162334/
流浪地球2,2023-01-22,8.3,1326395,"吴京,刘德华,李雪健","科幻,冒险,灾难",中国大陆,35267208,https://movie.douban.com/subject/35267208/
复仇者联盟,2012-05-05,8.3,676176,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","动作,科幻,奇幻,冒险",美国,1866479,https://movie.douban.com/subject/1866479/
飞向太空,1972-03-20,8.7,39372,"纳塔莉亚·邦达尔丘克,多纳塔斯•巴尼奥尼斯,尤里·贾维特","剧情,科幻,悬疑",苏联,1300977,https://movie.douban.com/subject/1300977/
原始星球,1973-12-06,8.8,31711,"让·托帕尔,让·瓦尔蒙,伊夫·巴萨克","动画,科幻","法国,捷克斯洛伐克",1291989,https://movie.douban.com/subject/1291989/
银河护卫队3,2023-05-05,8.3,538441,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","喜剧,动作,科幻,惊悚,冒险",美国,26258779,https://movie.douban.com/subject/26258779/
后天,2004-05-28,8.3,531619,"丹尼斯·奎德,杰克·吉伦哈尔,埃米·罗森","科幻,灾难",美国,1308779,https://movie.douban.com/subject/1308779/
银翼杀手2049,2017-10-27,8.3,531042,"瑞恩·高斯林,哈里森·福特,安娜·德·阿玛斯","剧情,动作,科幻,悬疑,惊悚","美国,英国,加拿大,西班牙",10512661,https://movie.douban.com/subject/10512661/
黑洞频率,2000-04-28,8.4,127004,"丹尼斯·奎德,吉姆·卡维泽,肖恩·多伊尔","科幻,犯罪,悬疑",美国,1294183,https://movie.douban.com/subject/1294183/
变形金刚,2007-07-11,8.3,513335,"希亚·拉博夫,梅根·福克斯,乔什·杜哈明","动作,科幻",美国,1794171,https://movie.douban.com/subject/1794171/
第九区,2009-11-27,8.3,481035,"沙尔托·科普雷,詹森·库伯,娜塔莉·博尔特","动作,剧情,科幻,惊悚","美国,新西兰,加拿大,南非",3006772,https://movie.douban.com/subject/3006772/
金刚狼3：殊死一战,2017-03-03,8.3,435046,"休·杰克曼,帕特里克·斯图尔特,达芙妮·基恩","剧情,动作,科幻",美国,25765735,https://movie.douban.com/subject/25765735/
超时空接触,1997-07-11,8.4,120357,"朱迪·福斯特,吉娜·马隆,大卫·摩斯","剧情,科幻,悬疑,惊悚",美国,1295647,https://movie.douban.com/subject/1295647/
生化危机,2002-03-15,8.3,384533,"米拉·乔沃维奇,米歇尔·罗德里格兹,科林·萨蒙","动作,科幻,恐怖","英国,德国,法国,美国,加拿大",1306809,https://movie.douban.com/subject/1306809/
异次元骇客,1999-05-28,8.4,116548,"克雷格·比尔克,阿明·缪勒-斯塔尔,格瑞辰·摩尔","科幻,悬疑,惊悚","美国,德国",1300282,https://movie.douban.com/subject/1300282/
黑衣人,1997-07-02,8.3,350605,"威尔·史密斯,汤米·李·琼斯,琳达·费奥伦蒂诺","动作,喜剧,科幻",美国,1301445,https://movie.douban.com/subject/1301445/
星球大战2：帝国反击战,1980-05-21,8.4,111303,"马克·哈米尔,哈里森·福特,凯丽·费雪","动作,冒险,科幻",美国,1296528,https://movie.douban.com/subject/1296528/
侏罗纪公园,2013-08-20,8.3,333161,"山姆·尼尔,劳拉·邓恩,杰夫·高布伦","科幻,惊悚,冒险",美国,1292523,https://movie.douban.com/subject/1292523/
异形,1979-05-25,8.3,284008,"西格妮·韦弗,汤姆·斯凯里特,维罗尼卡·卡维特","科幻,惊悚,恐怖","英国,美国",1300868,https://movie.douban.com/subject/1300868/
铁甲钢拳,2011-11-08,8.3,279801,"休·杰克曼,达科塔·高尤,凯文·杜兰","剧情,动作,科幻,运动","美国,印度",1972729,https://movie.douban.com/subject/1972729/
星球大战3：绝地归来,1983-05-25,8.4,101208,"马克·哈米尔,哈里森·福特,凯丽·费雪","动作,科幻,奇幻,冒险",美国,1297151,https://movie.douban.com/subject/1297151/
正义联盟：闪点悖论,2013-07-30,8.7,31616,"贾斯汀·钱伯斯,C·托马斯·豪威尔,迈克尔·B·乔丹","动作,科幻,动画,奇幻,冒险",美国,24718965,https://movie.douban.com/subject/24718965/
明日边缘,2014-06-06,8.2,498155,"汤姆·克鲁斯,艾米莉·布朗特,布莱丹·格里森","动作,科幻","美国,加拿大",4746257,https://movie.douban.com/subject/4746257/
X战警：逆转未来,2014-05-23,8.2,461728,"休·杰克曼,詹姆斯·麦卡沃伊,迈克尔·法斯宾德","剧情,动作,科幻,冒险","美国,英国",10485647,https://movie.douban.com/subject/10485647/
沙丘2,2024-03-08,8.2,456999,"提莫西·查拉梅,赞达亚,丽贝卡·弗格森","剧情,动作,科幻,冒险","美国,加拿大",35575567,https://movie.douban.com/subject/35575567/
猩球崛起,2011-10-28,8.2,445640,"安迪·瑟金斯,詹姆斯·弗兰科,芙蕾达·平托","剧情,动作,科幻",美国,3274505,https://movie.douban.com/subject/3274505/
X战警：第一战,2011-05-25,8.2,343434,"詹姆斯·麦卡沃伊,迈克尔·法斯宾德,凯文·贝肯","动作,剧情,科幻","美国,英国",3168089,https://movie.douban.com/subject/3168089/
我，机器人,2004-07-16,8.2,289137,"威尔·史密斯,布里吉特·莫伊纳汉,艾伦·图代克","动作,悬疑,科幻,惊悚","美国,德国",1308843,https://movie.douban.com/subject/1308843/
十二猴子,1995-12-08,8.2,240885,"布鲁斯·威利斯,玛德琳·斯托,布拉德·皮特","科幻,悬疑,惊悚",美国,1298744,https://movie.douban.com/subject/1298744/
终结者,1984-10-26,8.2,217754,"阿诺·施瓦辛格,迈克尔·比恩,琳达·汉密尔顿","动作,科幻,惊悚","美国,英国",1300656,https://movie.douban.com/subject/1300656/
升级,2018-03-10,8.2,170854,"罗根·马歇尔-格林,梅拉里·沃列何,哈里森·吉尔伯特森","动作,科幻,惊悚","美国,澳大利亚",27093707,https://movie.douban.com/subject/27093707/
复仇者联盟3：无限战争,2018-05-11,8.1,797411,"小罗伯特·唐尼,克里斯·埃文斯,克里斯·海姆斯沃斯","动作,科幻,奇幻,冒险",美国,24773958,https://movie.douban.com/subject/24773958/
无姓之人,2009-09-12,8.2,131629,"杰瑞德·莱托,莎拉·波利,黛安·克鲁格","剧情,爱情,科幻,奇幻","加拿大,比利时,法国,德国",2076181,https://movie.douban.com/subject/2076181/
云图,2013-01-31,8.1,404678,"汤姆·汉克斯,哈莉·贝瑞,吉姆·布劳德本特","剧情,科幻,悬疑","美国,德国,中国香港,新加坡,中国大陆,英国,西班牙",3530403,https://movie.douban.com/subject/3530403/
星球大战前传1：幽灵的威胁,1999-11-05,8.2,130007,"连姆·尼森,伊万·麦克格雷格,娜塔莉·波特曼","动作,科幻,冒险",美国,1294362,https://movie.douban.com/subject/1294362/
银河护卫队,2014-10-10,8.1,545525,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","动作,科幻,冒险",美国,7065154,https://movie.douban.com/subject/7065154/
钢铁巨人,1999-08-06,8.6,29685,"艾力·马伦斯奥,范·迪塞尔,小哈里·康尼克","喜剧,动作,科幻,动画,冒险",美国,1293863,https://movie.douban.com/subject/1293863/
蜘蛛侠,2002-08-07,8.1,396378,"托比·马奎尔,威廉·达福,克斯汀·邓斯特","动作,科幻,冒险",美国,1306612,https://movie.douban.com/subject/1306612/
迷雾,2007-11-21,8.1,354102,"托马斯·简,马西娅·盖伊·哈登,劳瑞·侯登","科幻,惊悚,恐怖",美国,1945330,https://movie.douban.com/subject/1945330/
扎克·施奈德版正义联盟,2021-05-03,8.1,334370,"本·阿弗莱克,亨利·卡维尔,盖尔·加朵","动作,科幻,奇幻,冒险",美国,35076714,https://movie.douban.com/subject/35076714/
独立日,1996-07-02,8.1,301348,"威尔·史密斯,杰夫·高布伦,比尔·普尔曼","动作,科幻,冒险,灾难",美国,1293013,https://movie.douban.com/subject/1293013/
最终幻想7：圣子降临,2005-08-31,8.3,60150,"樱井孝宏,伊藤步,森久保祥太郎","动画,动作,科幻,惊悚",日本,1422063,https://movie.douban.com/subject/1422063/
星际迷航,2009-05-15,8.1,176312,"克里斯·派恩,扎克瑞·昆图,伦纳德·尼莫伊","动作,冒险,科幻","美国,德国",2132932,https://movie.douban.com/subject/2132932/
异形2,1986-07-18,8.1,174263,"西格妮·韦弗,凯莉·赫恩,迈克尔·比恩","动作,科幻,惊悚,冒险",美国,1293792,https://movie.douban.com/subject/1293792/
宇宙探索编辑部,2023-04-01,8.0,628842,"杨皓宇,艾丽娅,王一通","喜剧,科幻",中国大陆,34941536,https://movie.douban.com/subject/34941536/
2012,2009-11-13,8.0,590885,"约翰·库萨克,阿曼达·皮特,切瓦特·埃加福","科幻,灾难","美国,加拿大",3005875,https://movie.douban.com/subject/3005875/
银河系漫游指南,2005-04-20,8.1,121742,"比尔·贝利,安娜·钱斯勒,沃维克·戴维斯","冒险,喜剧,科幻","美国,英国",1292267,https://movie.douban.com/subject/1292267/
银河护卫队2,2017-05-05,8.0,487084,"克里斯·帕拉特,佐伊·索尔达娜,戴夫·巴蒂斯塔","动作,科幻,冒险",美国,25937854,https://movie.douban.com/subject/25937854/
美国队长2,2014-04-04,8.0,454440,"克里斯·埃文斯,斯嘉丽·约翰逊,塞巴斯蒂安·斯坦","动作,科幻,惊悚,冒险",美国,6390823,https://movie.douban.com/subject/6390823/
怪形,1982-06-25,8.2,65898,"库尔特·拉塞尔,威尔福德·布利姆雷,TK·卡特","科幻,悬疑,恐怖",美国,1296794,https://movie.douban.com/subject/1296794/
星球大战前传2：克隆人的进攻,2002-07-12,8.1,106652,"伊万·麦克格雷格,娜塔莉·波特曼,海登·克里斯滕森","动作,科幻,冒险",美国,1297785,https://movie.douban.com/subject/1297785/
X特遣队：全员集结,2021-07-28,8.0,294238,"玛格特·罗比,伊德瑞斯·艾尔巴,约翰·塞纳","喜剧,动作,科幻,冒险","美国,加拿大,英国",26741632,https://movie.douban.com/subject/26741632/
生化危机2：启示录,2004-09-10,8.0,287252,"米拉·乔沃维奇,西耶娜·盖尔利,奥德·菲尔","动作,科幻,恐怖","德国,法国,英国,加拿大,美国",1308752,https://movie.douban.com/subject/1308752/
前目的地,2015-01-09,8.0,220430,"伊桑·霍克,莎拉·斯努克,诺亚·泰勒","科幻,悬疑","澳大利亚,美国",20278505,https://movie.douban.com/subject/20278505/
星际迷航2：暗黑无界,2013-05-28,8.0,219432,"克里斯·派恩,扎克瑞·昆图,佐伊·索尔达娜","动作,科幻,冒险",美国,3642843,https://movie.douban.com/subject/3642843/
第五元素,1997-05-07,8.0,206564,"布鲁斯·威利斯,加里·奥德曼,米拉·乔沃维奇","动作,科幻,冒险","法国,英国,美国",1293531,https://movie.douban.com/subject/1293531/
人猿星球,1968-02-08,8.3,40324,"查尔顿·赫斯顿,罗迪·麦克道尔,金·亨特","冒险,悬疑,科幻",美国,1296697,https://movie.douban.com/subject/1296697/
流浪地球,2019-02-05,7.9,1979194,"吴京,屈楚萧,李光洁","科幻,冒险,灾难",中国大陆,26266893,https://movie.douban.com/subject/26266893/
钢铁侠3,2013-05-01,7.9,437433,"小罗伯特·唐尼,格温妮斯·帕特洛,唐·钱德尔","动作,科幻","美国,中国大陆",3231742,https://movie.douban.com/subject/3231742/
百变星君,1995-08-19,7.9,324584,"周星驰,吴孟达,梁咏琪","喜剧,奇幻,科幻",中国香港,1300498,https://movie.douban.com/subject/1300498/
死侍,2016-02-12,7.9,494563,"瑞安·雷诺兹,莫蕾娜·巴卡琳,艾德·斯克林","喜剧,动作,科幻,冒险","美国,加拿大",3718279,https://movie.douban.com/subject/3718279/
美国队长3,2016-05-06,7.9,472047,"克里斯·埃文斯,小罗伯特·唐尼,斯嘉丽·约翰逊","动作,科幻",美国,25820460,https://movie.douban.com/subject/25820460/
地心引力,2013-11-19,7.9,449881,"桑德拉·布洛克,乔治·克鲁尼,艾德·哈里斯","科幻,惊悚,灾难","英国,美国,墨西哥",3793783,https://movie.douban.com/subject/3793783/
天鹅挽歌,2021-12-17,8.1,64980,"马赫沙拉·阿里,娜奥米·哈里斯,奥卡菲娜","剧情,爱情,科幻",美国,35258381,https://movie.douban.com/subject/35258381/
饥饿站台,2019-09-06,7.9,329685,"伊万·马萨格,佐伦·伊格,安东尼亚·圣胡安","科幻,惊悚",西班牙,34805219,https://movie.douban.com/subject/34805219/
心慌方,1997-09-09,7.9,227286,"妮可·德波儿,妮基·瓜达尼,大卫·休莱特","科幻,悬疑,惊悚",加拿大,1305903,https://movie.douban.com/subject/1305903/
少数派报告,2002-06-21,7.9,177203,"汤姆·克鲁斯,科林·法瑞尔,马克斯·冯·叙多夫","科幻,犯罪,惊悚",美国,1297689,https://movie.douban.com/subject/1297689/
阿凡达：水之道,2022-12-16,7.8,605992,"萨姆·沃辛顿,佐伊·索尔达娜,西格妮·韦弗","动作,科幻,冒险",美国,4811774,https://movie.douban.com/subject/4811774/
错位,1986,8.1,25345,"刘子枫,牟红,杨昆",科幻,中国大陆,1299687,https://movie.douban.com/subject/1299687/
环太平洋,2013-07-31,7.8,491071,"查理·汉纳姆,菊地凛子,伊德瑞斯·艾尔巴","动作,科幻,冒险",美国,5323968,https://movie.douban.com/subject/5323968/
降临,2017-01-20,7.8,487772,"艾米·亚当斯,杰瑞米·雷纳,福里斯特·惠特克","剧情,科幻","美国,加拿大",21324900,https://movie.douban.com/subject/21324900/
侏罗纪世界,2015-06-10,7.8,443442,"克里斯·帕拉特,布莱丝·达拉斯·霍华德,文森特·多诺费奥","动作,科幻,冒险",美国,10440138,https://movie.douban.com/subject/10440138/
星河战队,1997-11-07,7.9,109664,"卡斯帕·范·迪恩,迪娜·迈耶,丹妮丝·理查兹","动作,冒险,科幻,惊悚",美国,1295384,https://movie.douban.com/subject/1295384/
变形金刚2,2009-06-24,7.8,383867,"希亚·拉博夫,梅根·福克斯,乔什·杜哈明","动作,科幻,冒险",美国,2146991,https://movie.douban.com/subject/2146991/
蜘蛛侠2,2004-08-05,7.8,297306,"托比·马奎尔,克斯汀·邓斯特,詹姆斯·弗兰科","动作,科幻,冒险",美国,1308570,https://movie.douban.com/subject/1308570/
我是谁,1998-01-17,7.8,164183,"成龙,法拉美穗,山本未来","喜剧,动作,科幻,冒险",中国香港,1300303,https://movie.douban.com/subject/1300303/
X战警,2000-07-14,7.8,290092,"休·杰克曼,帕特里克·斯图尔特,伊恩·麦克莱恩","动作,科幻","美国,加拿大",1295250,https://movie.douban.com/subject/1295250/
黑衣人2,2002-07-03,7.8,228190,"威尔·史密斯,汤米·李·琼斯,约翰尼·诺克斯维尔","动作,喜剧,科幻",美国,1295280,https://movie.douban.com/subject/1295280/
超级马力欧兄弟大电影,2023-04-05,7.8,149037,"克里斯·帕拉特,安雅·泰勒-乔伊,查理·戴","喜剧,爱情,科幻,动画,奇幻,冒险","美国,日本",27199894,https://movie.douban.com/subject/27199894/
银河护卫队：假日特辑,2022-11-25,7.9,72888,"克里斯·帕拉特,庞·克莱门捷夫,戴夫·巴蒂斯塔","喜剧,动作,科幻,冒险",美国,35284237,https://movie.douban.com/subject/35284237/
大都会,2001-05-26,8.1,35799,"井元由香,小林希唯,冈田浩晖","科幻,动画,冒险",日本,1291569,https://movie.douban.com/subject/1291569/
深渊,1989-08-09,8.0,46093,"艾德·哈里斯,玛丽·伊丽莎白·马斯特兰托尼奥,迈克尔·比恩","剧情,科幻,悬疑,惊悚,冒险",美国,1299560,https://movie.douban.com/subject/1299560/
移魂都市,1998-02-27,7.9,66187,"卢夫斯·塞维尔,威廉·赫特,基弗·萨瑟兰","悬疑,科幻,惊悚",澳大利亚,1292332,https://movie.douban.com/subject/1292332/
沙丘,2021-10-22,7.7,723187,"提莫西·查拉梅,丽贝卡·弗格森,奥斯卡·伊萨克","剧情,科幻,冒险",美国,3001114,https://movie.douban.com/subject/3001114/
蚁人,2015-10-16,7.7,452633,"保罗·路德,迈克尔·道格拉斯,伊万杰琳·莉莉","动作,科幻,冒险",美国,1866473,https://movie.douban.com/subject/1866473/
钢铁侠2,2010-05-07,7.7,437572,"小罗伯特·唐尼,格温妮斯·帕特洛,唐·钱德尔","动作,冒险,科幻",美国,3066739,https://movie.douban.com/subject/3066739/
X战警：天启,2016-06-03,7.7,387676,"詹姆斯·麦卡沃伊,迈克尔·法斯宾德,詹妮弗·劳伦斯","动作,科幻,奇幻,冒险",美国,25786060,https://movie.douban.com/subject/25786060/
超凡蜘蛛侠,2012-08-27,7.7,350126,"安德鲁·加菲尔德,艾玛·斯通,瑞斯·伊凡斯","动作,科幻,奇幻,冒险",美国,2129132,https://movie.douban.com/subject/2129132/
猩球崛起2：黎明之战,2014-08-29,7.7,319321,"安迪·瑟金斯,杰森·克拉克,加里·奥德曼","剧情,动作,科幻",美国,7046723,https://movie.douban.com/subject/7046723/
超凡蜘蛛侠2,2014-05-04,7.7,308000,"安德鲁·加菲尔德,艾玛·斯通,杰米·福克斯","动作,科幻,奇幻,冒险",美国,6082518,https://movie.douban.com/subject/6082518/
黑衣人3,2012-05-25,7.7,294980,"威尔·史密斯,汤米·李·琼斯,乔什·布洛林","动作,喜剧,科幻",美国,3642835,https://movie.douban.com/subject/3642835/
